x,y,z,w
-28.47169241,36.75043589,3.265,3.5
-28.90297376,36.69794627,3.27,3.5
-29.33425512,36.64545665,3.275,3.5
-29.76553648,36.59296705,3.28,3.5
-30.19681783,36.54047744,3.285,3.5
-30.62996131,36.48628197,3.29,3.5
-31.06124266,36.43379236,3.295,3.5
-31.47442375,36.38646411,3.3,3.5
-31.86433924,36.32618905,3.305,3.5
-32.27441681,36.28170389,3.31,3.5
-32.70569816,36.22921427,3.315,3.5
-33.13697952,36.17672467,3.32,3.5
-33.57012298,36.12252919,3.325,3.5
-34.00140433,36.07003959,3.33,3.5
-34.43827204,36.01243241,3.335,3.5
-34.86955339,35.95994281,3.34,3.5
-35.30083475,35.90745319,3.345,3.5
-35.73211611,35.85496358,3.35,3.5
-36.16339746,35.80247397,3.355,3.5
-36.59654093,35.7482785,3.36,3.5
-37.00972202,35.70095025,3.365,3.5
-37.39963751,35.64067519,3.37,3.5
-37.80971508,35.59619003,3.375,3.5
-38.24099644,35.54370043,3.38,3.5
-38.67227779,35.49121081,3.385,3.5
-39.10355915,35.43872119,3.39,3.5
-39.53670262,35.38452573,3.395,3.5
-39.96798398,35.33203612,3.4,3.5
-40.40485168,35.27442895,3.405,3.5
-40.83613302,35.22193933,3.41,3.5
-41.26741438,35.16944973,3.415,3.5
-41.69869573,35.11696011,3.42,3.5
-42.1318392,35.06276465,3.425,3.5
-42.56312056,35.01027504,3.43,3.5
-42.97630165,34.96294679,3.435,3.5
-43.36621715,34.90267173,3.44,3.5
-43.77629471,34.85818657,3.445,3.5
-44.20757606,34.80569695,3.45,3.5
-44.63885742,34.75320735,3.455,3.5
-45.07013878,34.70071773,3.46,3.5
